age,gender,meals_day,physical_illness,screen_time,bluelight_filter,exercise,smoke_drink,beverage,sleep_time,app_time
23,0,2,0,2.5,0,0,0,1,9,10.71709091
23,0,2,0,2.5,1,1,0,0,8,11.03490909
24,1,4,0,2.5,1,1,0,0,8,11.35272727
24,1,2,0,6.5,1,0.5,0,0,8,11.67054545
50,1,2,0,1.5,0,1,0,0,8,11.98836364
22,0,3,0,3.5,0,0,0,1,8,12.30618182
23,1,3,0,3.5,0,0.5,0,1,8,12.624
23,1,3,0,1.5,1,1,1,1,8,12.94181818
23,1,3,0,3.5,0,0,0,1,8,13.25963636
23,0,3,0,4.5,0,0.5,0,1,8,13.57745455
23,0,3,0,6.5,1,0.5,0,1,8,13.89527273
22,1,1,0,4.5,0,0.5,0,2,8,14.21309091
25,0,3,1,6.5,1,1,1,2,8,14.53090909
21,1,1,1,6.5,1,0,0,0,7,14.84872727
22,1,4,0,1.5,1,1,0,0,7,15
24,1,3,0,6.5,0,0,0,0,7,16
24,1,2,0,6.5,0,0.5,0,0,7,15.6
25,0,2,0,6.5,0,0.5,0,0,7,15.44
21,1,2,0,6.5,0,0.5,0,1,7,17
22,1,2,0,1.5,1,0.5,0,1,7,16.76533333
22,1,2,1,2.5,1,0.5,0,1,7,17.07733333
22,1,2,0,4.5,1,0,0,1,7,17.38933333
23,0,3,0,3.5,0,0.5,0,1,7,17.70133333
23,0,3,0,4.5,1,1,0,1,7,18.01333333
23,1,3,0,6.5,1,0,0,1,7,18.32533333
23,1,3,0,6.5,0,0.5,0,1,7,18.63733333
23,0,3,0,6.5,1,0,0,1,7,18.94933333
25,1,2,0,2.5,1,0.5,0,1,7,19.26133333
23,0,3,0,6.5,1,1,1,2,7,19.57333333
22,1,2,0,2,1,0.5,0,1,6.7575,19.88533333
22,1,2,0,2.5,1,0.5,0,1,6.7575,20.19733333
23,0,2,0,1.5,0,0.5,0,1,6.5,20.50933333
24,0,3,1,4.5,0,0.5,0,1,6.5,20.82133333
28,0,3,0,0.5,1,1,0,1,6.5,21.13333333
23,0,3,0,6.5,1,1,0,1,6,21.44533333
22,0,2,0,3.5,0,1,0,1,6,21.75733333
22,1,3,0,3.5,0,0.5,0,1,6,22.06933333
59,1,2,0,0.5,0,0,0,1,6,22.38133333
22,1,3,0,6.5,1,0.5,1,2,6,22.69333333
23,0,3,0,3.5,0,0.5,0,2,6,23.00533333
39,0,5,0,2.5,1,0,0,2,6,23.31733333
22,1,4,0,1.5,1,0.5,0,2,5,23.62933333
25,0,3,0,2.5,0,0.5,0,2,5,23.94133333
24,1,3,0,6.5,1,0.5,0,0,4,24.25333333
20,1,1,0,4.5,0,0,0,1,3.33,24.56533333
25,0,6,0,6.5,1,1,0,1,1.5,24.87733333
